idema,nombre,provincia_id,latitud,longitud,altitud
1014,"HONDARRIBIA, MALKARROA",20,43.35,-1.7833,4
1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,20,43.35,-1.7833,4
1021X,"ERRENTERIA, AÑARBE",20,43.2,-1.8667,165
1021Y,ARTICUTZA (AUTOMATICA),31,43.2,-1.7833,305
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",20,43.3,-2.0333,250
1025A,SEGURA,20,43,-2.25,255
1025X,"BEASAIN, ARRIARAN",20,43.05,-2.2167,255
1026X,ORDIZIA,20,43.05,-2.1833,290
1033X,ARESO,31,43.0833,-1.95,520
1037X,LEGAZPI,20,43.05,-2.3333,460
1037Y,ZUMARRAGA,20,43.0667,-2.3167,420
1038X,AZPEITIA,20,43.1667,-2.2667,180
1041A,ZUMAIA,20,43.3,-2.25,28
1044X,"ARAMAIO, ETXAGUEN",1,43.05,-2.5833,617
1048X,ARETXABALETA,20,43.0167,-2.45,308
1049N,ELGETA,20,43.1333,-2.4833,470
1050J,ELGOIBAR,20,43.2,-2.4,119
1052A,MUTRIKU,20,43.3167,-2.3833,150
1055B,LEKEITIO,48,43.3667,-2.5,12
1056K,FORUA,48,43.3333,-2.6667,45
1057B,MATXITXAKO,48,43.45,-2.75,93
1059X,PUNTA GALEA,48,43.3667,-3.0167,81
1060X,AMURRIO,1,43.05,-3,240
1064L,"OROZKO, IBARRA",48,43.0833,-2.85,270
1069Y,"ABADIÑO, URKIOLA",48,43.0833,-2.6333,747
1074C,AMOREBIETA-ETXANO,48,43.2,-2.7,100
1078C,BALMASEDA,48,43.1667,-3.2,210
1078I,GÜEÑES,48,43.2,-3.1,208
1082,BILBAO AEROPUERTO,48,43.2833,-2.9,42
1083B,SOPUERTA,48,43.2667,-3.1667,177
1083L,CASTRO URDIALES,39,43.3833,-3.2333,45
1089U,RAMALES DE LA VICTORIA,39,43.25,-3.4667,80
1096X,"BARCENA DE CICERO, TRETO",39,43.3833,-3.4667,10
1103X,SAN ROQUE DE RIOMIERA,39,43.2167,-3.7167,849
1109,SANTANDER AEROPUERTO,39,43.4167,-3.8167,3
1109X,SANTANDER AEROPUERTO,39,43.4167,-3.8167,3
1110,"SANTANDER, CIUDAD",39,43.45,-3.8167,64
1111,SANTANDER,39,43.4833,-3.8,52
1111X,SANTANDER,39,43.4833,-3.8,51
1124E,VILLACARRIEDO,39,43.2333,-3.8333,196
1135C,"LOS TOJOS, BÁRCENA MAYOR",39,43.1333,-4.2,460
1152C,SAN FELICES DE BUELNA,39,43.2667,-4.0333,105
1154H,"TORRELAVEGA, SIERRAPANDO",39,43.35,-4.0167,110
1159,SAN VICENTE DE LA BARQUERA,39,43.3833,-4.3833,38
1167B,"CAMALEÑO, FUENTE DE",39,43.1333,-4.8,1100
1167G,"MIRADOR DEL CABLE, PARQUE NACIONAL PICOS DE EUROPA",39,43.15,-4.8,1910
1167J,"CORISCAO, PARQUE NACIONAL PICOS DE EUROPA",39,43.0833,-4.7667,1722
1174I,"CILLÓRIGO DE LIÉBANA, TAMA",39,43.1667,-4.6,250
1176A,TRESVISO,39,43.25,-4.6667,940
1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,43.2333,-4.7333,1236
1178Y,"POSADA DE VALDEÓN, SOTO ",24,43.1333,-4.9167,953
1179B,CABRALES,33,43.3,-4.85,458
1183X,LLANES,33,43.4167,-4.7333,10
1186P,"AMIEVA, PANIZALES",33,43.25,-5.1167,370
1199X,"PILOÑA, BARGAÉU",33,43.3667,-5.3833,280
1203D,COLUNGA,33,43.4833,-5.2333,30
1207U,"GIJÓN, CAMPUS",33,43.5167,-5.6167,26
1208,GIJÓN,33,43.5333,-5.6333,3
1208A,GIJÓN. LA MERCED,33,43.5333,-5.65,22
